caseid,midprice
672,3.1876647
673,3.1903107
674,3.1866648
675,3.1862297
676,3.1890864
677,3.187765
678,3.19271
679,3.1950097
680,3.1969762
681,3.194824
682,3.1930943
683,3.1899083
684,3.189048
685,3.1862566
686,3.1833324
687,3.183438
688,3.1775622
689,3.1756508
690,3.1756482
691,3.175045
692,3.1757545
693,3.1743383
694,3.16557
695,3.1639102
696,3.165404
697,3.1619322
698,3.1564293
699,3.1596706
700,3.1681643
701,3.1696105
702,3.1709144
703,3.1671102
704,3.1643314
705,3.162968
706,3.161134
707,3.16498
708,3.1665754
709,3.1641295
710,3.1644707
711,3.1579883
712,3.1563842
713,3.1562972
714,3.1587903
715,3.160664
716,3.1636689
717,3.1652038
718,3.207683
719,3.203164
720,3.19878
721,3.1969473
722,3.1925015
723,3.1873715
724,3.1905313
725,3.188524
726,3.1886888
727,3.1849232
728,3.1840684
729,3.1845345
730,3.1795583
731,3.173083
732,3.1676426
733,3.1696167
734,3.1695273
735,3.1770914
736,3.1777751
737,3.1736317
738,3.1735895
739,3.1773562
740,3.1852782
741,3.1867874
742,3.1904535
743,3.1951673
744,3.1952143
745,3.187896
746,3.1854362
747,3.1842628
748,3.1809762
749,3.1829298
750,3.1831598
751,3.178535
752,3.1765604
753,3.1749563
754,3.1740386
755,3.1757011
756,3.1760871
757,3.1761937
758,3.1724586
759,3.1673026
760,3.1676905
761,3.1634555
762,3.159873
763,3.1593924
764,3.163161
765,3.1651962
766,3.1657662
767,3.1627693
768,3.160833
769,3.1574934
770,3.1514587
771,3.1522818
772,3.1475415
773,3.1497111
774,3.142014
775,3.1359813
776,3.1391053
777,3.1413496
778,3.1422522
779,3.1363435
780,3.1317933
781,3.1286438
782,3.1375365
783,3.158046
784,3.1553996
785,3.1634197
786,3.1679006
787,3.170643
788,3.1695557
789,3.1656878
790,3.1644313
791,3.1638067
792,3.1635509
793,3.1735523
794,3.1700816
795,3.1760046
796,3.1778393
797,3.1888134
798,3.1899993
799,3.1850781
800,3.1862333
801,3.1831203
802,3.1873531
803,3.1890473
804,3.1890962
805,3.1902452
806,3.1855574
807,3.1840465
808,3.1823542
809,3.1795259
810,3.179843
811,3.179058
812,3.1806848
813,3.1788578
814,3.1553752
815,3.145176
816,3.1391015
817,3.1419542
818,3.136475
819,3.1491978
820,3.1423433
821,3.1420872
822,3.1365018
823,3.1407473
824,3.1455138
825,3.141771
826,3.138102
827,3.1370451
828,3.136905
829,3.1435707
830,3.1274273
831,3.1359463
832,3.1428244
833,3.1408515
834,3.1430628
835,3.1464696
836,3.1426947
837,3.141599
838,3.137077
839,3.1446378
840,3.1519768
841,3.1478462
842,3.1427615
843,3.1416173
844,3.136945
845,3.1391962
846,3.1363761
847,3.1357818
848,3.140999
849,3.1351225
850,3.1349516
851,3.1305375
852,3.130619
853,3.1324418
854,3.1289883
855,3.131966
856,3.1318202
857,3.1300387
858,3.1237972
859,3.1259217
860,3.1312876
861,3.1300313
862,3.1319833
863,3.130555
864,3.1286087
865,3.1302793
866,3.1365905
867,3.1366634
868,3.1348338
869,3.1317067
870,3.1306567
871,3.1281633
872,3.128422
873,3.1296291
874,3.1267726
875,3.1240377
876,3.1258547
877,3.1239443
878,3.1242104
879,3.1262856
880,3.1285129
881,3.1343057
882,3.134798
883,3.128936
884,3.129774
885,3.1281729
886,3.1283107
887,3.1271343
888,3.1251543
889,3.1255226
890,3.1245618
891,3.125951
892,3.1248236
893,3.1213906
894,3.121207
895,3.1183112
896,3.1187308
897,3.1172845
898,3.1225176
899,3.1225622
900,3.1198585
901,3.1173017
902,3.1137753
903,3.1164649
904,3.1126015
905,3.1178951
906,3.1069705
907,3.1079772
908,3.110555
909,3.1095624
910,3.106892
911,3.0810857
912,3.0779405
913,3.088055
914,3.0930684
915,3.1034794
916,3.1003327
917,3.099501
918,3.099164
919,3.0957983
920,3.0944242
921,3.0964396
922,3.1012838
923,3.0957189
924,3.0924346
925,3.0897956
926,3.0854754
927,3.0811255
928,3.0808692
929,3.0795279
930,3.0827227
931,3.0832484
932,3.089184
933,3.0931683
934,3.1031396
935,3.1181488
936,3.1124418
937,3.119296
938,3.113436
939,3.1240377
940,3.1255405
941,3.1230083
942,3.120172
943,3.1248434
944,3.1218808
945,3.13142
946,3.1301708
947,3.1243477
948,3.1233737
949,3.126038
950,3.119114
951,3.1183152
952,3.1156292
953,3.113256
954,3.1171348
955,3.116364
956,3.109431
957,3.1112576
958,3.1111777
959,3.1107
960,3.1117897
961,3.1142354
962,3.1176708
963,3.124396
964,3.126278
965,3.1245522
966,3.1213658
967,3.1323488
968,3.133736
969,3.1386285
970,3.148146
971,3.1467657
972,3.1442509
973,3.1524236
974,3.1544573
975,3.1571856
976,3.1712854
977,3.1728828
978,3.1735616
979,3.171301
980,3.1752658
981,3.174439
982,3.1783733
983,3.1814182
984,3.1882656
985,3.1892717
986,3.192511
987,3.192329
988,3.1874917
989,3.1868367
990,3.1880715
991,3.1845088
992,3.1886618
993,3.1886222
994,3.1957908
995,3.1917796
996,3.1899748
997,3.1892693
998,3.1910021
999,3.1977925
1000,3.1931095
